Sample Time,Engine Speed (RPM),Engine Load Factor (%),Engine Coolant Temperature (Deg. C),Engine Oil Pressure (kPa),Boost Pressure (kPa),Fuel Pressure (kPa),Inlet Air Temperature (Deg. C),Fuel Consumption Rate (L/hr)
11/15/2021 15:05,1199.5,28,82,425.5,4.5,608.5,36.6,24.6
11/15/2021 13:17,800,26,82,283.5,1,576.5,36.4,13.9
11/15/2021 12:47,799.5,24,82,283.5,1.5,579.5,35.7,13.3
11/14/2021 18:56,1335,34,81,441,9.5,628,36,33.95
11/14/2021 18:26,1299.5,28,82,433.5,4,623.5,38.8,26.35
11/14/2021 17:01,801,21,82,282.5,2,581.5,41.2,12.45
11/14/2021 16:31,1877,36,83,455,128,679.5,43.4,61.85
11/14/2021 16:00,1834,75,83,454,70,644.5,41.2,123.05
11/14/2021 15:30,1814.5,82,83,455,62.5,618,39.7,129.7
11/14/2021 15:00,1791.5,21,83,455.5,39.5,621,41.6,49.3
11/14/2021 14:30,1199.5,31,82,420,8.5,610,40.7,26.7
11/14/2021 14:00,1167.5,67,82,421,10.5,614.5,42.8,48.8
11/14/2021 13:30,799.5,21,82,283,1,570.5,41.7,12.7
11/14/2021 13:00,799,24,82,279.5,1.5,586,41.8,13.4
11/14/2021 12:30,1303.5,29,82,431,6,644.5,36.7,27.55
11/14/2021 12:00,800,31,82,278.5,2.5,577.5,37.7,15.1
11/14/2021 10:28,800,31,83,287,2,581,34,15.45
11/13/2021 16:12,799.5,21,82,282,1,574.5,40.7,12.6
11/13/2021 15:42,800.5,21,82,282.5,1.5,574.5,41.3,12.6
11/13/2021 15:12,800.5,22,83,281.5,1.5,575,41.5,12.95
11/13/2021 13:39,800,23,83,282,1.5,575.5,39.2,13.2
11/13/2021 12:14,799,25,83,282.5,1.5,579,35.6,13.8
11/13/2021 11:16,800.5,22,83,286,1.5,581,33.3,12.95
11/12/2021 20:47,1204,29,82,426,4.5,625.5,32,24.8
11/12/2021 20:17,1201,28,82,427,5.5,626,33.2,25.2
11/12/2021 19:47,1299.5,26,82,432,5.5,622,36.8,26
11/12/2021 19:17,799.5,18,82,287.5,1,563.5,33.6,11.3
11/12/2021 18:47,800.5,22,82,276.5,1.5,567.5,38.5,12.7
